Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,524,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1790,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,963,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,150,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1532,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,34164,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,18,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,380,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,25,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,184,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1153,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,44,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,2,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,10,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2822,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,159,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,13118,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,113,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,124,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,347,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,22,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,33,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,9,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4331,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,150,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1972,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,11,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,257,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,1,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1370,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,435,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1637,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,406,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1800,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,20,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,3,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,132,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,4009,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1200,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,22,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,36,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1658,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,25,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,42,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,120,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,20,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,8135,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,14,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,432,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3430,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,22,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,107,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1765,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,4346,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,28,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3233,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2009,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,30,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,5234,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,174,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,60,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,100,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,9,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,867,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,36,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,18,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2006,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,238,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,919,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,708,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,13,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,30,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,55,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,26,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,25,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,82,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,39,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,425,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2091,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,233,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,5,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,981,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,66,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,262,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,18203,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,339,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,75,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,5817,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3572,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,15,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,355,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,29201,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,12,,,,,,,,,,,,
2019,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,18036,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,148,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,278,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,3297,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,117,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,55,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1773,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,449,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,5,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1730,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,7,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2031,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,85,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,154,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,4674,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,5,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,6,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1219,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,2,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,7888,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,6,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,30,,,,,,,,,,,,
2019,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,337,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,10,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3665,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,14748,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,347,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,27,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,178,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,76,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,824,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,6163,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,762,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,712,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,815,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2771,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1694,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,6,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,53793,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,65,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2937,,,,,,,,,,,,
2019,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,8785,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2236,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,5632,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,10,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,168,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,5967,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,51,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,80,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,253,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,3023,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,224,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,6,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,15,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,93,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,10,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,60,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,4264,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2392,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,40,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,11771,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,4288,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,611,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,165,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,38,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,21,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1921,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,190,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2832,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,44,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,6,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1275,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,738,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,11208,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,80,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,5265,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,657,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,34,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,2408,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3992,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,333,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,21,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,20,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,299,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2042,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,35,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,447,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,393,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,38,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,216,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,36,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,215,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,403,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,1129,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,266,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,68,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,624,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,8000,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,12000,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,65,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,441,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,6,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,73,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,56,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,791,,,,,,,,,,,,
